datetime,open,high,low,close,volume
2019-09-26 09:25:00,1.6149999999999998,1.6149999999999998,1.6149999999999998,1.6149999999999998,44390
2019-09-26 09:30:00,1.616,1.6170000000000002,1.6149999999999998,1.6149999999999998,106636
2019-09-26 09:31:00,1.6149999999999998,1.616,1.614,1.614,51716
2019-09-26 09:32:00,1.613,1.6149999999999998,1.613,1.6149999999999998,111734
2019-09-26 09:33:00,1.6149999999999998,1.6170000000000002,1.6149999999999998,1.616,44014
2019-09-26 09:34:00,1.6170000000000002,1.6170000000000002,1.6149999999999998,1.6149999999999998,36544
2019-09-26 09:35:00,1.6149999999999998,1.616,1.613,1.613,103386
2019-09-26 09:36:00,1.614,1.614,1.612,1.612,61096
2019-09-26 09:37:00,1.612,1.613,1.611,1.612,93612
2019-09-26 09:38:00,1.613,1.614,1.613,1.613,72406
2019-09-26 09:39:00,1.613,1.613,1.612,1.613,14818
2019-09-26 09:40:00,1.613,1.614,1.612,1.613,29438
2019-09-26 09:41:00,1.613,1.613,1.611,1.612,105602
2019-09-26 09:42:00,1.612,1.613,1.611,1.612,63414
2019-09-26 09:43:00,1.611,1.612,1.611,1.611,57668
2019-09-26 09:44:00,1.612,1.612,1.61,1.61,50427
2019-09-26 09:45:00,1.61,1.611,1.607,1.607,198873
2019-09-26 09:46:00,1.607,1.608,1.606,1.607,89181
2019-09-26 09:47:00,1.608,1.608,1.606,1.606,83793
2019-09-26 09:48:00,1.605,1.607,1.605,1.606,72399
2019-09-26 09:49:00,1.606,1.606,1.605,1.606,54267
2019-09-26 09:50:00,1.606,1.606,1.605,1.605,68556
2019-09-26 09:51:00,1.606,1.606,1.604,1.604,62289
2019-09-26 09:52:00,1.6030000000000002,1.605,1.6030000000000002,1.604,71523
2019-09-26 09:53:00,1.6030000000000002,1.605,1.6030000000000002,1.604,66402
2019-09-26 09:54:00,1.604,1.604,1.6030000000000002,1.604,98541
2019-09-26 09:55:00,1.604,1.605,1.6030000000000002,1.605,11600
2019-09-26 09:56:00,1.605,1.606,1.604,1.605,6300
2019-09-26 09:57:00,1.606,1.606,1.605,1.606,7345
2019-09-26 09:58:00,1.606,1.607,1.605,1.606,5132
2019-09-26 09:59:00,1.606,1.607,1.605,1.607,7727
2019-09-26 10:00:00,1.606,1.607,1.606,1.607,2878
2019-09-26 10:01:00,1.607,1.609,1.606,1.608,11881
2019-09-26 10:02:00,1.609,1.609,1.608,1.609,4993
2019-09-26 10:03:00,1.609,1.609,1.608,1.608,11325
2019-09-26 10:04:00,1.608,1.608,1.606,1.606,12331
2019-09-26 10:05:00,1.607,1.607,1.604,1.604,12082
2019-09-26 10:06:00,1.604,1.605,1.604,1.604,11664
2019-09-26 10:07:00,1.605,1.605,1.602,1.602,27038
2019-09-26 10:08:00,1.602,1.602,1.6010000000000002,1.6010000000000002,22248
2019-09-26 10:09:00,1.6010000000000002,1.602,1.6,1.6010000000000002,20105
2019-09-26 10:10:00,1.6010000000000002,1.6010000000000002,1.599,1.6,38071
2019-09-26 10:11:00,1.6,1.6,1.599,1.599,20911
2019-09-26 10:12:00,1.599,1.599,1.597,1.597,33734
2019-09-26 10:13:00,1.597,1.598,1.596,1.596,31654
2019-09-26 10:14:00,1.597,1.598,1.596,1.598,74415
2019-09-26 10:15:00,1.597,1.597,1.596,1.596,32276
2019-09-26 10:16:00,1.597,1.597,1.596,1.597,21551
2019-09-26 10:17:00,1.596,1.597,1.595,1.595,60191
2019-09-26 10:18:00,1.595,1.595,1.593,1.594,20715
2019-09-26 10:19:00,1.593,1.594,1.592,1.593,34897
2019-09-26 10:20:00,1.593,1.593,1.591,1.591,32601
2019-09-26 10:21:00,1.592,1.594,1.591,1.594,26488
2019-09-26 10:22:00,1.595,1.595,1.592,1.592,39146
2019-09-26 10:23:00,1.592,1.593,1.592,1.592,15225
2019-09-26 10:24:00,1.593,1.593,1.592,1.592,18294
2019-09-26 10:25:00,1.592,1.592,1.591,1.591,25212
2019-09-26 10:26:00,1.59,1.592,1.59,1.592,23079
2019-09-26 10:27:00,1.592,1.592,1.591,1.592,16853
2019-09-26 10:28:00,1.59,1.592,1.59,1.591,56374
2019-09-26 10:29:00,1.59,1.591,1.588,1.588,141411
2019-09-26 10:30:00,1.589,1.589,1.585,1.586,75215
2019-09-26 10:31:00,1.585,1.586,1.584,1.584,57612
2019-09-26 10:32:00,1.584,1.587,1.584,1.587,78193
2019-09-26 10:33:00,1.587,1.587,1.585,1.585,39934
2019-09-26 10:34:00,1.585,1.585,1.582,1.582,42813
2019-09-26 10:35:00,1.583,1.584,1.582,1.583,39396
2019-09-26 10:36:00,1.583,1.585,1.582,1.584,9446
2019-09-26 10:37:00,1.585,1.585,1.582,1.584,81490
2019-09-26 10:38:00,1.583,1.584,1.583,1.584,60076
2019-09-26 10:39:00,1.585,1.585,1.585,1.585,15968
2019-09-26 10:40:00,1.585,1.587,1.585,1.587,25219
2019-09-26 10:41:00,1.586,1.587,1.586,1.587,15318
2019-09-26 10:42:00,1.587,1.587,1.586,1.586,32795
2019-09-26 10:43:00,1.587,1.587,1.586,1.586,12556
2019-09-26 10:44:00,1.587,1.587,1.584,1.585,16999
2019-09-26 10:45:00,1.585,1.586,1.585,1.586,11544
2019-09-26 10:46:00,1.586,1.587,1.586,1.587,10784
2019-09-26 10:47:00,1.588,1.589,1.587,1.588,9539
2019-09-26 10:48:00,1.588,1.588,1.587,1.587,8334
2019-09-26 10:49:00,1.587,1.588,1.587,1.588,11037
2019-09-26 10:50:00,1.588,1.588,1.586,1.586,12201
2019-09-26 10:51:00,1.587,1.588,1.587,1.588,7513
2019-09-26 10:52:00,1.588,1.588,1.585,1.586,15547
2019-09-26 10:53:00,1.585,1.586,1.585,1.585,4933
2019-09-26 10:54:00,1.585,1.586,1.585,1.585,26443
2019-09-26 10:55:00,1.584,1.585,1.584,1.585,8837
2019-09-26 10:56:00,1.585,1.587,1.584,1.587,10656
2019-09-26 10:57:00,1.587,1.587,1.586,1.587,9701
2019-09-26 10:58:00,1.586,1.587,1.586,1.587,23917
2019-09-26 10:59:00,1.586,1.587,1.584,1.585,17998
2019-09-26 11:00:00,1.585,1.585,1.584,1.585,3013
2019-09-26 11:01:00,1.585,1.585,1.584,1.585,3452
2019-09-26 11:02:00,1.585,1.585,1.583,1.583,27435
2019-09-26 11:03:00,1.584,1.584,1.582,1.582,37312
2019-09-26 11:04:00,1.582,1.582,1.581,1.582,17257
2019-09-26 11:05:00,1.582,1.582,1.58,1.58,73076
2019-09-26 11:06:00,1.58,1.582,1.579,1.581,19055
2019-09-26 11:07:00,1.582,1.582,1.58,1.581,21592
2019-09-26 11:08:00,1.581,1.581,1.579,1.58,30811
2019-09-26 11:09:00,1.58,1.58,1.58,1.58,4770
2019-09-26 11:10:00,1.58,1.58,1.5779999999999998,1.579,42964
2019-09-26 11:11:00,1.5779999999999998,1.581,1.5779999999999998,1.581,17347
2019-09-26 11:12:00,1.582,1.583,1.582,1.583,16801
2019-09-26 11:13:00,1.582,1.583,1.582,1.582,14276
2019-09-26 11:14:00,1.582,1.582,1.581,1.582,2691
2019-09-26 11:15:00,1.582,1.583,1.582,1.583,1734
2019-09-26 11:16:00,1.582,1.583,1.582,1.582,9590
2019-09-26 11:17:00,1.581,1.582,1.5779999999999998,1.5779999999999998,29785
2019-09-26 11:18:00,1.579,1.579,1.5779999999999998,1.5779999999999998,15326
2019-09-26 11:19:00,1.579,1.579,1.5779999999999998,1.579,9362
2019-09-26 11:20:00,1.579,1.579,1.577,1.577,21359
2019-09-26 11:21:00,1.576,1.577,1.575,1.575,32057
2019-09-26 11:22:00,1.576,1.576,1.575,1.575,14552
2019-09-26 11:23:00,1.576,1.576,1.574,1.574,34303
2019-09-26 11:24:00,1.573,1.574,1.572,1.572,25413
